date,pk,player_id,name,team,opp,home,opp_sp,opp_sp_id,sp_hand,season_h,season_pa,season_g,pa_g,n_eff,f_bat,f_pit,f_park,h_pa,p,p2,odds_dk,odds_mgm,odds_czr,odds2_dk,odds2_mgm,odds2_czr,fair,fair2,odds_dk_u,played,pa_actual,ab_actual,h_actual,hit_yes,hit2_yes,graded_at
2026-08-17,824320,500743,Miguel Rojas,Los Angeles Dodgers,Colorado Rockies,0,Tomoyuki Sugano,608372,R,48,192,80,2.4,2.3,1.05,1.04,1.07,0.25387,49.0,9.1,,,,,,,+104,+999,,0,0,0,0,0,0,2026-08-18T04:27:08Z
2026-08-17,822939,691723,Coby Mayo,Baltimore Orioles,Tampa Bay Rays,0,Shane McClanahan,663556,L,61,318,98,3.24,3.11,0.95,0.96,0.99,0.19429,48.9,10.6,-128,-135,-141,474,425,425,+104,+843,,1,5,5,2,1,1,2026-08-18T04:27:08Z
2026-08-17,823589,657757,Gavin Sheets,San Diego Padres,New York Mets,0,Nolan McLean,690997,R,72,394,116,3.4,3.26,0.92,0.95,0.98,0.18635,48.9,10.8,-129,-135,-139,453,425,425,+104,+826,,1,4,3,1,1,0,2026-08-18T04:27:08Z
2026-08-17,824077,622268,Donovan Walton,Athletics,Kansas City Royals,0,Michael Wacha,608379,R,37,154,57,2.7,2.59,1.03,1.0,1.02,0.22715,48.7,9.6,-149,-160,-162,375,275,350,+105,+942,,1,4,3,1,1,0,2026-08-18T04:27:08Z
2026-08-17,823427,677870,Leo Jiménez,Miami Marlins,Philadelphia Phillies,0,Cristopher Sánchez,650911,L,30,166,57,2.91,2.79,0.95,1.03,1.0,0.21207,48.6,10.0,-148,-160,-170,383,350,360,+106,+900,,1,5,4,1,1,0,2026-08-18T04:27:08Z
2026-08-17,823668,668885,Austin Martin,Minnesota Twins,Atlanta Braves,1,Martín Pérez,527048,L,68,335,110,3.05,2.93,0.97,0.95,1.0,0.20095,48.2,10.0,-225,-235,-280,249,220,205,+107,+900,,0,0,0,0,0,0,2026-08-18T04:27:08Z
2026-08-17,823343,680779,Henry Davis,Pittsburgh Pirates,Detroit Tigers,1,Framber Valdez,664285,L,37,250,80,3.12,3.0,0.88,1.02,1.01,0.19633,48.1,10.1,-124,-125,-134,489,450,450,+108,+890,,1,4,4,1,1,0,2026-08-18T04:27:08Z
2026-08-17,824641,668670,Jake Rogers,Chicago White Sox,Chicago Cubs,0,Shota Imanaga,684007,L,19,129,43,3.0,2.88,0.92,1.01,1.0,0.20072,47.5,9.6,-101,-115,-114,560,525,550,+111,+942,,1,4,2,0,0,0,2026-08-18T04:27:08Z
2026-08-17,824641,686668,Brenton Doyle,Chicago White Sox,Chicago Cubs,0,Shota Imanaga,684007,L,32,158,57,2.77,2.66,0.98,1.01,1.0,0.21374,47.3,9.1,-133,-160,-159,439,350,375,+111,+999,,1,3,3,0,0,0,2026-08-18T04:27:08Z
2026-08-17,822939,641933,Tyler O'Neill,Baltimore Orioles,Tampa Bay Rays,0,Shane McClanahan,663556,L,47,243,80,3.04,2.92,0.96,0.96,0.99,0.19636,47.2,9.5,-134,-165,-162,433,333,360,+112,+953,,1,5,5,2,1,1,2026-08-18T04:27:08Z
2026-08-17,824478,686780,Pedro Pagés,St. Louis Cardinals,Cincinnati Reds,0,Rhett Lowder,695076,R,34,178,66,2.7,2.59,0.96,1.03,1.01,0.21794,47.1,8.9,-149,-140,-164,346,400,360,+112,+1024,,0,0,0,0,0,0,2026-08-18T04:27:08Z
2026-08-17,824641,624424,Michael Conforto,Chicago Cubs,Chicago White Sox,1,Luis Castillo,622491,R,43,218,82,2.66,2.55,0.97,1.03,1.0,0.21588,46.2,8.5,-117,-118,-127,516,500,475,+116,+1076,,1,2,2,0,0,0,2026-08-18T04:27:08Z
2026-08-17,822939,669236,Jeremiah Jackson,Baltimore Orioles,Tampa Bay Rays,0,Shane McClanahan,663556,L,53,243,87,2.79,2.68,1.0,0.96,0.99,0.20518,46.0,8.6,,,,,,,+117,+1063,,1,4,4,0,0,0,2026-08-18T04:27:08Z
2026-08-17,822939,665966,Carlos Narváez,Baltimore Orioles,Tampa Bay Rays,0,Shane McClanahan,663556,L,35,228,72,3.17,3.04,0.89,0.96,0.99,0.18297,45.9,9.1,102,100,-104,620,600,650,+118,+999,,1,4,2,0,0,0,2026-08-18T04:27:08Z
2026-08-17,824077,675961,Alika Williams,Athletics,Kansas City Royals,0,Michael Wacha,608379,R,37,147,60,2.45,2.35,1.04,1.0,1.02,0.23006,45.9,7.9,,,,,,,+118,+1166,,1,3,3,0,0,0,2026-08-18T04:27:08Z
2026-08-17,823668,668952,Ryan Kreidler,Minnesota Twins,Atlanta Braves,1,Martín Pérez,527048,L,46,217,78,2.78,2.67,0.99,0.95,1.0,0.20529,45.9,8.5,-129,-145,-136,457,390,425,+118,+1076,,0,0,0,0,0,0,2026-08-18T04:27:08Z
2026-08-17,824320,669743,Alex Call,Los Angeles Dodgers,Colorado Rockies,0,Tomoyuki Sugano,608372,R,33,154,67,2.3,2.21,1.0,1.04,1.07,0.24103,45.6,7.5,,,,,,,+119,+1233,,0,0,0,0,0,0,2026-08-18T04:27:08Z
2026-08-17,823427,688363,Graham Pauley,Miami Marlins,Philadelphia Phillies,0,Cristopher Sánchez,650911,L,21,115,46,2.5,2.4,0.97,1.03,1.0,0.21507,44.1,7.3,,,,,,,+127,+1270,,0,0,0,0,0,0,2026-08-18T04:27:08Z
2026-08-17,824641,545341,Randal Grichuk,Chicago White Sox,Chicago Cubs,0,Shota Imanaga,684007,L,51,194,85,2.28,2.19,1.07,1.01,1.0,0.23299,44.1,6.8,-146,-175,-173,383,310,340,+127,+1371,,1,3,3,1,1,0,2026-08-18T04:27:08Z
2026-08-17,824641,621438,Tyrone Taylor,Chicago Cubs,Chicago White Sox,1,Luis Castillo,622491,R,39,183,77,2.38,2.28,1.0,1.03,1.0,0.22177,43.5,6.9,,,,,,,+130,+1349,,0,0,0,0,0,0,2026-08-18T04:27:08Z
2026-08-17,824478,663494,Bryan Torres,St. Louis Cardinals,Cincinnati Reds,0,Rhett Lowder,695076,R,24,117,51,2.29,2.2,0.99,1.03,1.01,0.22343,42.7,6.4,,,,,,,+134,+1462,,1,4,3,1,1,0,2026-08-18T04:27:08Z
2026-08-17,823589,666023,Freddy Fermin,San Diego Padres,New York Mets,0,Nolan McLean,690997,R,36,213,77,2.77,2.66,0.92,0.95,0.98,0.18654,42.3,7.0,,,,,,,+136,+1329,,0,0,0,0,0,0,2026-08-18T04:27:08Z
2026-08-17,822939,681297,Colton Cowser,Baltimore Orioles,Tampa Bay Rays,0,Shane McClanahan,663556,L,55,294,110,2.67,2.56,0.94,0.96,0.99,0.19283,42.2,6.9,,,,,,,+137,+1349,,1,2,2,0,0,0,2026-08-18T04:27:08Z
2026-08-17,824641,682668,Luisangel Acuña,Chicago White Sox,Chicago Cubs,0,Shota Imanaga,684007,L,44,195,85,2.29,2.2,1.01,1.01,1.0,0.22075,42.2,6.2,-107,-125,-124,610,450,500,+137,+1513,,1,4,3,0,0,0,2026-08-18T04:27:08Z
2026-08-17,823427,665923,Esteury Ruiz,Miami Marlins,Philadelphia Phillies,0,Cristopher Sánchez,650911,L,35,171,80,2.14,2.05,0.98,1.03,1.0,0.21924,39.8,5.1,-124,-140,-134,472,425,450,+151,+1861,,1,3,3,2,1,1,2026-08-18T04:27:08Z
2026-08-17,824077,686475,Tyler Tolbert,Kansas City Royals,Athletics,1,Mason Barnett,686930,R,28,106,56,1.89,1.92,1.05,0.99,1.02,0.22939,39.4,4.7,,,,,,,+154,+2028,,0,0,0,0,0,0,2026-08-18T04:27:08Z
2026-08-17,824725,642201,Eli White,Boston Red Sox,Arizona Diamondbacks,1,Mitch Bratt,683352,L,35,161,77,2.09,2.01,1.0,0.98,1.03,0.21931,39.2,4.9,,-145,,,390,,+155,+1941,,1,4,4,1,1,0,2026-08-18T04:27:08Z
2026-08-17,823427,656537,Derek Hill,Philadelphia Phillies,Miami Marlins,1,Janson Junk,676083,R,38,179,91,1.97,1.92,0.99,1.04,1.0,0.22423,38.6,4.5,,,,,,,+159,+2122,,1,2,1,1,1,0,2026-08-18T04:27:08Z
2026-08-17,822939,622761,Jorge Mateo,Tampa Bay Rays,Baltimore Orioles,1,Brandon Young,687064,R,32,141,70,2.01,1.93,1.01,1.01,0.99,0.21942,38.0,4.4,,,,,,,+163,+2173,,1,2,2,1,1,0,2026-08-18T04:27:08Z
2026-08-17,824725,663330,Jahmai Jones,Boston Red Sox,Arizona Diamondbacks,1,Mitch Bratt,683352,L,24,130,71,1.83,1.92,0.96,0.98,1.03,0.21112,36.6,4.0,-175,-210,-213,314,270,270,+173,+2400,,0,0,0,0,0,0,2026-08-18T04:27:08Z
2026-08-17,824725,678489,Jorge Barrosa,Arizona Diamondbacks,Boston Red Sox,0,Alec Gamboa,687941,L,26,156,89,1.75,1.92,0.94,1.0,1.03,0.20737,36.0,3.8,,,,,,,+178,+2532,,1,1,1,0,0,0,2026-08-18T04:27:08Z
2026-08-17,823589,823550,Sung-Mun Song,San Diego Padres,New York Mets,0,Nolan McLean,690997,R,23,131,61,2.15,2.06,0.95,0.95,0.98,0.1925,35.6,4.0,,,,,,,+181,+2400,,0,0,0,0,0,0,2026-08-18T04:27:08Z
